,Cell,SPEI,lat,lon
131, 52.750000  45.750000,-1.966,45.750000, 52.75000
132, 52.750000  47.250000,-1.7556,47.250000, 52.75000
133, 52.750000  47.750000,-1.6463,47.750000, 52.75000
134, 52.750000  48.250000,-1.6037,48.250000, 52.75000
135, 52.750000  48.750000,-1.4686,48.750000, 52.75000
136, 52.750000  49.250000,-1.308,49.250000, 52.75000
137, 52.750000  49.750000,-1.2918,49.750000, 52.75000
138, 52.750000  50.250000,-1.0927,50.250000, 52.75000
139, 52.750000  50.750000,-1.0856,50.750000, 52.75000
140, 52.750000  51.250000,-1.002,51.250000, 52.75000
141, 53.250000  41.750000,-1.9016,41.750000, 53.25000
142, 53.250000  42.250000,-2.0117,42.250000, 53.25000
143, 53.250000  42.750000,-2.1751,42.750000, 53.25000
144, 53.250000  43.250000,-2.1243,43.250000, 53.25000
145, 53.250000  43.750000,-2.1217,43.750000, 53.25000
146, 53.250000  44.250000,-1.98,44.250000, 53.25000
147, 53.250000  44.750000,-2.0463,44.750000, 53.25000
148, 53.250000  45.250000,-1.9733,45.250000, 53.25000
149, 53.250000  45.750000,-1.8815,45.750000, 53.25000
150, 53.250000  46.250000,-1.8377,46.250000, 53.25000
151, 53.250000  46.750000,-1.8246,46.750000, 53.25000
152, 53.250000  47.250000,-1.7613,47.250000, 53.25000
153, 53.250000  47.750000,-1.6064,47.750000, 53.25000
154, 53.250000  48.250000,-1.6055,48.250000, 53.25000
155, 53.250000  48.750000,-1.5027,48.750000, 53.25000
156, 53.250000  49.250000,-1.3837,49.250000, 53.25000
157, 53.250000  49.750000,-1.1511,49.750000, 53.25000
158, 53.250000  50.250000,-1.1139,50.250000, 53.25000
159, 53.250000  50.750000,-1.032,50.750000, 53.25000
160, 53.250000  51.250000,-1.0182,51.250000, 53.25000
161, 53.750000  42.250000,-2.0173,42.250000, 53.75000
162, 53.750000  42.750000,-2.2251,42.750000, 53.75000
163, 53.750000  43.250000,-2.1359,43.250000, 53.75000
164, 53.750000  43.750000,-2.204,43.750000, 53.75000
165, 53.750000  44.250000,-2.1047,44.250000, 53.75000
166, 53.750000  44.750000,-2.0413,44.750000, 53.75000
167, 53.750000  45.250000,-2.0656,45.250000, 53.75000
168, 53.750000  45.750000,-1.8512,45.750000, 53.75000
169, 53.750000  46.250000,-1.8336,46.250000, 53.75000
170, 53.750000  46.750000,-1.7678,46.750000, 53.75000
171, 53.750000  47.250000,-1.707,47.250000, 53.75000
172, 53.750000  47.750000,-1.5908,47.750000, 53.75000
173, 53.750000  48.250000,-1.5986,48.250000, 53.75000
174, 53.750000  48.750000,-1.4257,48.750000, 53.75000
175, 53.750000  49.250000,-1.3421,49.250000, 53.75000
176, 53.750000  49.750000,-1.1974,49.750000, 53.75000
177, 53.750000  50.250000,-1.1188,50.250000, 53.75000
178, 53.750000  50.750000,-0.99135,50.750000, 53.75000
179, 53.750000  51.250000,-1.0788,51.250000, 53.75000
180, 54.250000  42.250000,-2.0026,42.250000, 54.25000
181, 54.250000  42.750000,-2.1664,42.750000, 54.25000
182, 54.250000  43.250000,-2.2874,43.250000, 54.25000
183, 54.250000  43.750000,-2.2176,43.750000, 54.25000
184, 54.250000  44.250000,-2.1855,44.250000, 54.25000
185, 54.250000  44.750000,-2.0695,44.750000, 54.25000
186, 54.250000  45.250000,-2.0476,45.250000, 54.25000
187, 54.250000  45.750000,-1.8614,45.750000, 54.25000
188, 54.250000  46.250000,-1.7672,46.250000, 54.25000
189, 54.250000  46.750000,-1.726,46.750000, 54.25000
190, 54.250000  47.250000,-1.6318,47.250000, 54.25000
191, 54.250000  47.750000,-1.5988,47.750000, 54.25000
192, 54.250000  48.250000,-1.5834,48.250000, 54.25000
193, 54.250000  48.750000,-1.4387,48.750000, 54.25000
194, 54.250000  49.250000,-1.3737,49.250000, 54.25000
195, 54.250000  49.750000,-1.2259,49.750000, 54.25000
196, 54.250000  50.250000,-1.1461,50.250000, 54.25000
197, 54.250000  50.750000,-0.96564,50.750000, 54.25000
198, 54.750000  41.750000,-1.6037,41.750000, 54.75000
199, 54.750000  42.250000,-1.7716,42.250000, 54.75000
200, 54.750000  42.750000,-2.2746,42.750000, 54.75000
201, 54.750000  43.250000,-2.1625,43.250000, 54.75000
202, 54.750000  43.750000,-2.1985,43.750000, 54.75000
203, 54.750000  44.250000,-2.3677,44.250000, 54.75000
204, 54.750000  44.750000,-2.2728,44.750000, 54.75000
205, 54.750000  45.250000,-1.8581,45.250000, 54.75000
206, 54.750000  45.750000,-1.7966,45.750000, 54.75000
207, 54.750000  46.250000,-1.8905,46.250000, 54.75000
208, 54.750000  46.750000,-1.8585,46.750000, 54.75000
209, 54.750000  47.250000,-1.5444,47.250000, 54.75000
210, 54.750000  47.750000,-1.5229,47.750000, 54.75000
211, 54.750000  48.250000,-1.7133,48.250000, 54.75000
212, 54.750000  48.750000,-1.5994,48.750000, 54.75000
213, 54.750000  49.250000,-1.2536,49.250000, 54.75000
214, 54.750000  49.750000,-1.0654,49.750000, 54.75000
215, 54.750000  50.250000,-1.2416,50.250000, 54.75000
216, 54.750000  50.750000,-1.1439,50.750000, 54.75000
